id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5317935,Family friendly Boston home,95959,Bandita,,Roxbury,42.32338,-71.09334,Entire home/apt,400,29,9,2019-04-16,0.10,1,203,0,STR-398243
5358934,"Renovated, Quiet, Free Parking",18517776,Huggy,,Roxbury,42.31681,-71.08001,Private room,42,150,6,2019-11-01,0.08,31,365,0,
5364137,**Studio by Airport and T Station**,23777641,Gavin,,East Boston,42.38704,-71.00581,Entire home/apt,83,60,87,2022-08-14,0.92,2,29,2,
5371051,Beautiful 3 bedroom Dorchester MA,27842033,Bernard,,Dorchester,42.31163,-71.06351,Entire home/apt,86,29,262,2022-09-05,3.04,2,258,1,
5434353,Quiet  Beauty in Boston,9658771,Anthony,,Roslindale,42.28629,-71.13839,Entire home/apt,155,14,26,2021-04-30,0.29,2,365,0,STR-445527
5478135,City living near the beach!,13595892,Elizabeth,,East Boston,42.38455,-71.00217,Entire home/apt,195,91,27,2016-11-13,0.33,1,0,0,
5495267,Parking Renovated Close to Downtown,18517776,Huggy,,Roxbury,42.31676,-71.08,Private room,36,150,2,2016-08-30,0.03,31,365,0,
5526487,*Fort Hill Inn: Penthouse Duplex* Close to Center,28662210,Terry,,Mission Hill,42.33211,-71.09842,Entire home/apt,325,3,142,2022-11-26,1.55,5,159,25,STR446658
5526514,"Fresh! City Loft Apartment,  Minutes to Center!",28662210,Terry,,Roxbury,42.3285,-71.09608,Entire home/apt,179,3,127,2022-08-13,1.34,5,1,4,STR-446656
5581575,Private Entrance * King Bed! * Parking * Kid Ready,28766987,Kathy,,Back Bay,42.34628,-71.08064,Entire home/apt,330,29,206,2022-09-26,2.62,1,100,3,STR-400453
5690424,"Beacon Hill House, Huge Roof Deck & Encore Casino",28090138,Gloria,,Beacon Hill,42.35668,-71.07185,Entire home/apt,310,91,124,2020-03-01,1.33,1,59,0,
